corso_codice;materia_codice;materia_descrizione;url;tipo;componente_id
659;82546;Sem. Diritto delle reti e delle associazioni di impresa;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/415082;;415082
659;82547;Sem. Le bioetiche sospese: gli sguardi degli ordinamenti religiosi e secolari;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/415083;;415083
659;82556;SEM. DIRITTO TRIBUTARIO TRANSNAZIONALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/415246;;415246
659;83121;Sem. Tecniche e competenze della negoziazione e della advocacy mediation;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/417328;;417328
659;84043;Sem. In vista del referendum: capire la riforma costituzionale;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/420917;;420917
660;536;ISTITUZIONI DI DIRITTO ROMANO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204131;;204131
660;24331;STORIA DEL DIRITTO MEDIOEVALE E MODERNO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204133;;204133
660;256;ECONOMIA POLITICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204139;;204139
660;385;FILOSOFIA DEL DIRITTO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204147;;204147
660;222;DIRITTO COSTITUZIONALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204148;;204148
660;224;DIRITTO DEL LAVORO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204149;;204149
660;221;DIRITTO COMMERCIALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204150;;204150
660;230;DIRITTO INTERNAZIONALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204151;;204151
660;232;DIRITTO PRIVATO COMPARATO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204152;;204152
660;236;DIRITTO PUBBLICO COMPARATO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204153;;204153
660;9945;INFORMATICA GIURIDICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204190;;204190
660;231;DIRITTO PENALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204191;;204191
660;233;DIRITTO PROCESSUALE CIVILE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204192;;204192
660;24614;FONDAMENTI ROMANISTICI DEL DIRITTO EUROPEO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204196;;204196
660;53513;STORIA DEL DIRITTO MODERNO E CONTEMPORANEO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204197;;204197
660;815;PROCEDURA PENALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204218;;204218
660;217;DIRITTO AMMINISTRATIVO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204219;;204219
660;239;DIRITTO TRIBUTARIO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204220;;204220
660;57802;DIRITTO DELL'UNIONE EUROPEA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204223;;204223
660;3639;DIRITTO REGIONALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204224;;204224
660;218;DIRITTO CANONICO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204226;;204226
660;225;DIRITTO DELLA NAVIGAZIONE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204228;;204228
660;1261;DIRITTO DI FAMIGLIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204331;;204331
660;24629;DIRITTO COSTITUZIONALE AVANZATO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204370;;204370
660;24628;LINGUA GIURIDICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204379;;204379
660;46818;DIRITTI FONDAMENTALI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/309932;;309932
660;13029;DIRITTO PROCESSUALE GENERALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/309942;;309942
660;45070;ECONOMIA DELL'IMPRESA E DELL'INNOVAZIONE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/309946;;309946
660;3575;SOCIOLOGIA DEL DIRITTO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/309948;;309948
660;942;STORIA DEL DIRITTO ROMANO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/309952;;309952
660;2513;CRIMINOLOGIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/310022;;310022
660;26119;CONTRATTI INTERNAZIONALI E UNIFORMAZIONE DEL DIRITTO ( INTERNATIONAL CONTRACTS AND LEGAL HARMONIZATION );http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/310026;;310026
660;228;DIRITTO FALLIMENTARE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/310027;;310027
660;17234;DIRITTO DEI MERCATI FINANZIARI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/310028;;310028
660;26120;DIRITTO DEL LAVORO PUBBLICO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/310029;;310029
660;9260;DIRITTO DEI TRASPORTI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/310030;;310030
660;24630;DIRITTO DELL'AMBIENTE E DEL GOVERNO DEL TERRITORIO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/310031;;310031
660;30001;DIRITTO DELLA COMUNICAZIONE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/310033;;310033
660;3919;DIRITTO DELLA PREVIDENZA SOCIALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/310036;;310036
660;229;DIRITTO INDUSTRIALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/310038;;310038
660;7535;DIRITTO PENALE DEL LAVORO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/310041;;310041
660;13943;LEGISLAZIONE DEL TURISMO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/310052;;310052
660;702;MEDICINA LEGALE E DELLE ASSICURAZIONI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/310056;;310056
660;1879;DIRITTO ECCLESIASTICO ITALIANO E COMPARATO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/328293;;328293
660;40315;CONTABILITA E BILANCIO;;;340713
660;39602;FONDAMENTI DI LOGICA GIURIDICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/361391;;361391
660;68978;DIRITTO PENALE DELL'ECONOMIA E DELLA PUBBLICA AMMINISTRAZIONE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/375793;;375793
